asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B0BBSF2MBJ,Jitsu Squad (PS5),https://m.media-amazon.com/images/I/71PfBB-k18L._AC_UY218_.jpg,https://www.amazon.com/dp/B0BBSF2MBJ,4.5,0,39.82,0.0,261,False,0
B0892CRWQH,Google WiFi Wall Mount ABS Bracket Holder Shelf for Google Nest WiFi Router [Built-in Cable Management] (1PACK),https://m.media-amazon.com/images/I/51onFffXdiL._AC_UY218_.jpg,https://www.amazon.com/dp/B0892CRWQH,4.6,0,11.99,0.0,189,False,0
B077MHVBGC,"Cables Direct Online, Bulk 18/4 Stranded Conductor Alarm Control Low Voltage Cable 500ft Fire/Security Burglar Station Wire Security (Unshielded), 18/4, Stranded, 500ft)",https://m.media-amazon.com/images/I/71OsygwH9XL._AC_UL320_.jpg,https://www.amazon.com/dp/B077MHVBGC,4.4,0,94.95,0.0,80,False,50
B01GKCUEPM,"Houseables 4 Oz Plastic Containers with Lids, Body Butter Jars, Lotion Container, White, 118 ML/Gram Capacity, 12 Pack, Jar for Cream, Makeup, Cosmetics, Face Scrub, Hair Product, Screw Top & Liner",https://m.media-amazon.com/images/I/61b4WvANy8L._AC_UL320_.jpg,https://www.amazon.com/dp/B01GKCUEPM,4.6,0,13.58,15.39,50,False,200
B07YFFHNB1,co2CREA Hard Travel Case Replacement for TP-Link AC750 Wireless Portable Nano Travel Router,https://m.media-amazon.com/images/I/719PaTlGV-L._AC_UL320_.jpg,https://www.amazon.com/dp/B07YFFHNB1,4.5,0,14.99,0.0,60,False,0
B00P2ESJAC,MBM131 Men's Black 11-Inch Classic Square Toe Harness Boots,https://m.media-amazon.com/images/I/61u1gXgT+rL._AC_UL320_.jpg,https://www.amazon.com/dp/B00P2ESJAC,4.4,0,111.47,149.99,114,False,0
B0BS3S86YC,Samsung 8GB DDR5 4800MHz SODIMM PC5-38400 CL40 1Rx16 1.1V SO-DIMM 262-Pin Gaming Busines Home Laptop Notebook RAM Memory Module (M425R1GB4BB0-CQK) (OEM),https://m.media-amazon.com/images/I/71b67rPF-jL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BS3S86YC,4.5,0,19.99,0.0,63,False,0
B0BG6DC1QN,"Teak Tuning Apex 61D Urethane Fingerboard Wheels - Cruiser Style, Bowl Shaped, 8.7mm Diameter - ABEC-9 Stealth Bearings - Made in The USA - Cream Colorway",https://m.media-amazon.com/images/I/51K7FPQQL8L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BG6DC1QN,0.0,0,32.99,0.0,232,False,0
B08PPTNY6X,55W AC Slim Digital HID Xenon Replacement Ballast For H11 H7 H8 H9 H4 H1 H13 9005 9006 9007 Universal Fit,https://m.media-amazon.com/images/I/71lyfgVEWaL._AC_UL320_.jpg,https://www.amazon.com/dp/B08PPTNY6X,4.3,0,18.99,0.0,22,False,0
B000CN937G,Energy Suspension 16.1102R Transmission Shifter Stabilizer,https://m.media-amazon.com/images/I/61Lx6H0yikL._AC_UL320_.jpg,https://www.amazon.com/dp/B000CN937G,4.7,0,16.73,0.0,18,False,0
