category,count,percentage
Girls' Clothing,220,2.2
Boys' Clothing,166,1.66
Toys & Games,150,1.5
Men's Shoes,148,1.48
Girls' Jewelry,147,1.47
Women's Handbags,139,1.39
Men's Clothing,132,1.32
Men's Accessories,115,1.15
Women's Jewelry,115,1.15
Travel Accessories,114,1.14
Women's Clothing,110,1.1
Home Storage & Organization,107,1.07
Women's Shoes,102,1.02
Men's Watches,95,0.95
Women's Accessories,89,0.89
Girls' Shoes,82,0.82
"Lights, Bulbs & Indicators",78,0.78
Office Electronics,76,0.76
Hair Care Products,76,0.76
Car Care,74,0.74
Sports & Outdoor Play Toys,73,0.73
"Foot, Hand & Nail Care Products",73,0.73
Computers & Tablets,71,0.71
Makeup,71,0.71
Skin Care Products,70,0.7
"Industrial Adhesives, Sealants & Lubricants",70,0.7
Automotive Performance Parts & Accessories,70,0.7
Automotive Replacement Parts,70,0.7
Pumps & Plumbing Equipment,70,0.7
Cutting Tools,69,0.69
Industrial Materials,68,0.68
Portable Audio & Video,68,0.68
Sewing Products,67,0.67
Automotive Tires & Wheels,66,0.66
Craft Supplies & Materials,66,0.66
Dog Supplies,65,0.65
Light Bulbs,64,0.64
Televisions & Video Products,64,0.64
Computer Components,64,0.64
Knitting & Crochet Supplies,63,0.63
Headphones & Earbuds,63,0.63
Seasonal Décor,63,0.63
Party Decorations,63,0.63
Bath Products,62,0.62
Industrial Hardware,62,0.62
Gift Wrapping Supplies,62,0.62
Baby Boys' Clothing & Shoes,62,0.62
Shaving & Hair Removal Products,61,0.61
Motorcycle & Powersports,61,0.61
Home Décor Products,61,0.61
"Painting, Drawing & Art Supplies",60,0.6
Games & Accessories,59,0.59
Wall Art,59,0.59
Automotive Tools & Equipment,59,0.59
Computers,59,0.59
Building Supplies,59,0.59
Lighting & Ceiling Fans,59,0.59
Beading & Jewelry Making,58,0.58
Lab & Scientific Products,58,0.58
Vacuum Cleaners & Floor Care,58,0.58
Backpacks,58,0.58
Material Handling Products,57,0.57
Kids' Furniture,56,0.56
Cat Supplies,56,0.56
Welding & Soldering,55,0.55
Household Cleaning Supplies,55,0.55
Baby & Toddler Toys,54,0.54
Electrical Equipment,54,0.54
Beauty Tools & Accessories,54,0.54
Boys' Jewelry,54,0.54
Novelty Toys & Amusements,54,0.54
"Tricycles, Scooters & Wagons",54,0.54
Baby & Toddler Feeding Supplies,53,0.53
Toy Figures & Playsets,53,0.53
Abrasive & Finishing Products,53,0.53
Sports & Fitness,53,0.53
Automotive Interior Accessories,53,0.53
Kids' Dress Up & Pretend Play,52,0.52
Automotive Exterior Accessories,52,0.52
Additive Manufacturing Products,51,0.51
Wearable Technology,51,0.51
Arts & Crafts Supplies,51,0.51
Tablet Accessories,51,0.51
"PlayStation 4 Games, Consoles & Accessories",51,0.51
Home Appliances,51,0.51
Craft & Hobby Fabric,51,0.51
Baby Care Products,50,0.5
Bedding,50,0.5
Puzzles,50,0.5
"Hydraulics, Pneumatics & Plumbing",50,0.5
Small Animal Supplies,49,0.49
Kitchen & Bath Fixtures,49,0.49
Safety & Security,49,0.49
Food Service Equipment & Supplies,48,0.48
Packaging & Shipping Supplies,47,0.47
Commercial Door Products,47,0.47
"PlayStation 5 Consoles, Games & Accessories",47,0.47
"Xbox Series X & S Consoles, Games & Accessories",46,0.46
Fasteners,46,0.46
Laptop Bags,45,0.45
Building Toys,45,0.45
GPS & Navigation,45,0.45
Needlework Supplies,44,0.44
Computer Networking,44,0.44
Industrial Power & Hand Tools,44,0.44
Power Transmission Products,44,0.44
Party Supplies,43,0.43
Camera & Photo,43,0.43
"Heating, Cooling & Air Quality",42,0.42
Security & Surveillance Equipment,42,0.42
"Arts, Crafts & Sewing Storage",42,0.42
Vehicle Electronics,42,0.42
Dolls & Accessories,41,0.41
Data Storage,41,0.41
RV Parts & Accessories,41,0.41
Women's Watches,40,0.4
Home Audio & Theater Products,39,0.39
Boys' Shoes,39,0.39
Laptop Accessories,38,0.38
Janitorial & Sanitation Supplies,38,0.38
"Nintendo Switch Consoles, Games & Accessories",38,0.38
Video Games,37,0.37
Heavy Duty & Commercial Vehicle Equipment,37,0.37
Baby Gifts,37,0.37
Filtration,37,0.37
Stuffed Animals & Plush Toys,36,0.36
Girls' Accessories,36,0.36
Health Care Products,35,0.35
Wellness & Relaxation Products,35,0.35
"Nursery Furniture, Bedding & Décor",35,0.35
Furniture,35,0.35
Professional Dental Supplies,35,0.35
"Paint, Wall Treatments & Supplies",35,0.35
Fish & Aquatic Pets,35,0.35
Kids' Play Cars & Race Cars,34,0.34
Kids' Party Supplies,34,0.34
Vision Products,33,0.33
PC Games & Accessories,33,0.33
Virtual Reality Hardware & Accessories,33,0.33
Home Lighting & Ceiling Fans,31,0.31
Hardware,31,0.31
Scrapbooking & Stamping Supplies,31,0.31
Cell Phones & Accessories,31,0.31
Kids' Electronics,30,0.3
Baby Safety Products,30,0.3
"Xbox 360 Games, Consoles & Accessories",30,0.3
Retail Store Fixtures & Equipment,30,0.3
Occupational Health & Safety Products,29,0.29
"Test, Measure & Inspect",29,0.29
Baby,28,0.28
Pet Bird Supplies,28,0.28
Baby & Child Care Products,28,0.28
Printmaking Supplies,28,0.28
Industrial & Scientific,27,0.27
Accessories & Supplies,27,0.27
Kitchen & Dining,27,0.27
Measuring & Layout,26,0.26
Sexual Wellness Products,26,0.26
Sports Nutrition Products,26,0.26
Outdoor Recreation,26,0.26
Reptiles & Amphibian Supplies,25,0.25
Horse Supplies,25,0.25
Beauty & Personal Care,25,0.25
Science Education Supplies,24,0.24
Luggage,24,0.24
Power Tools & Hand Tools,24,0.24
"Xbox One Games, Consoles & Accessories",24,0.24
Oral Care Products,24,0.24
Diet & Sports Nutrition,23,0.23
"PlayStation 3 Games, Consoles & Accessories",22,0.22
Travel Duffel Bags,22,0.22
Professional Medical Supplies,21,0.21
Learning & Education Toys,21,0.21
"Nintendo DS Games, Consoles & Accessories",21,0.21
Finger Toys,21,0.21
Baby Girls' Clothing & Shoes,20,0.2
Ironing Products,20,0.2
Boys' Accessories,20,0.2
Baby Diapering Products,20,0.2
Computer Monitors,20,0.2
Fabric Decorating,19,0.19
Computer External Components,18,0.18
Baby Travel Gear,18,0.18
Household Supplies,17,0.17
"Wii Games, Consoles & Accessories",17,0.17
Toy Vehicle Playsets,16,0.16
Baby Strollers & Accessories,16,0.16
Kids' Play Trucks,16,0.16
Child Safety Car Seats & Accessories,15,0.15
Sports & Outdoors,15,0.15
Tablet Replacement Parts,15,0.15
Home Use Medical Supplies & Equipment,15,0.15
Baby Activity & Entertainment Products,14,0.14
Car Electronics & Accessories,14,0.14
Tools & Home Improvement,13,0.13
Pregnancy & Maternity Products,12,0.12
Puppets & Puppet Theaters,12,0.12
Oils & Fluids,12,0.12
Baby Stationery,12,0.12
Kids' Home Store,11,0.11
"Sony PSP Games, Consoles & Accessories",11,0.11
Electronic Components,11,0.11
"Slot Cars, Race Tracks & Accessories",10,0.1
Mac Games & Accessories,9,0.09
Messenger Bags,9,0.09
Legacy Systems,8,0.08
Travel Tote Bags,8,0.08
Suitcases,7,0.07
Rain Umbrellas,7,0.07
Health & Household,7,0.07
"Nintendo 3DS & 2DS Consoles, Games & Accessories",7,0.07
Personal Care Products,6,0.06
Video Projectors,6,0.06
"PlayStation Vita Games, Consoles & Accessories",6,0.06
Video Game Consoles & Accessories,6,0.06
eBook Readers & Accessories,6,0.06
Toilet Training Products,6,0.06
Automotive Paint & Paint Supplies,4,0.04
Perfumes & Fragrances,4,0.04
Kids' Play Boats,4,0.04
Smart Home - Heating & Cooling,4,0.04
Girls' Watches,3,0.03
Boys' Watches,3,0.03
Kids' Play Buses,3,0.03
Girls' School Uniforms,3,0.03
Smart Home: Home Entertainment,3,0.03
"Wii U Games, Consoles & Accessories",3,0.03
Smart Home: Smart Locks and Entry,3,0.03
Smart Home: WiFi and Networking,2,0.02
Kids' Play Trains & Trams,2,0.02
Kids' Play Tractors,2,0.02
Smart Home: Plugs and Outlets,2,0.02
Smart Home: Other Solutions,2,0.02
Stationery & Gift Wrapping Supplies,2,0.02
Computer Servers,1,0.01
Gift Cards,1,0.01
Smart Home: Lighting,1,0.01
Smart Home: Lawn and Garden,1,0.01
Smart Home: Security Cameras and Systems,1,0.01
Boys' School Uniforms,1,0.01
Luggage Sets,1,0.01
